emoji,unicode,category,unicodename
👇🏼,\U0001f447\U0001f3fc,emojis & people,---
👇🏽,\U0001f447\U0001f3fd,emojis & people,---
👇🏾,\U0001f447\U0001f3fe,emojis & people,---
👇🏿,\U0001f447\U0001f3ff,emojis & people,---
☝️,\u261d\ufe0f,emojis & people,---
☝🏻,\u261d\U0001f3fb,emojis & people,---
☝🏼,\u261d\U0001f3fc,emojis & people,---
☝🏽,\u261d\U0001f3fd,emojis & people,---
☝🏾,\u261d\U0001f3fe,emojis & people,---
☝🏿,\u261d\U0001f3ff,emojis & people,---
✋,\u270b,emojis & people,RAISED HAND
✋🏻,\u270b\U0001f3fb,emojis & people,---
✋🏼,\u270b\U0001f3fc,emojis & people,---
✋🏽,\u270b\U0001f3fd,emojis & people,---
✋🏾,\u270b\U0001f3fe,emojis & people,---
✋🏿,\u270b\U0001f3ff,emojis & people,---
🤚,\U0001f91a,emojis & people,RAISED BACK OF HAND
🤚🏻,\U0001f91a\U0001f3fb,emojis & people,---
🤚🏼,\U0001f91a\U0001f3fc,emojis & people,---
🤚🏽,\U0001f91a\U0001f3fd,emojis & people,---
🤚🏾,\U0001f91a\U0001f3fe,emojis & people,---
🤚🏿,\U0001f91a\U0001f3ff,emojis & people,---
🖐️,\U0001f590\ufe0f,emojis & people,---
🖐🏻,\U0001f590\U0001f3fb,emojis & people,---
🖐🏼,\U0001f590\U0001f3fc,emojis & people,---
🖐🏽,\U0001f590\U0001f3fd,emojis & people,---
🖐🏾,\U0001f590\U0001f3fe,emojis & people,---
🖐🏿,\U0001f590\U0001f3ff,emojis & people,---
🖖,\U0001f596,emojis & people,RAISED HAND WITH PART BETWEEN MIDDLE AND RING FINGERS
🖖🏻,\U0001f596\U0001f3fb,emojis & people,---
🖖🏼,\U0001f596\U0001f3fc,emojis & people,---
🖖🏽,\U0001f596\U0001f3fd,emojis & people,---
🖖🏾,\U0001f596\U0001f3fe,emojis & people,---
🖖🏿,\U0001f596\U0001f3ff,emojis & people,---
👋,\U0001f44b,emojis & people,WAVING HAND SIGN
👋🏻,\U0001f44b\U0001f3fb,emojis & people,---
👋🏼,\U0001f44b\U0001f3fc,emojis & people,---
👋🏽,\U0001f44b\U0001f3fd,emojis & people,---
👋🏾,\U0001f44b\U0001f3fe,emojis & people,---
👋🏿,\U0001f44b\U0001f3ff,emojis & people,---
🤙,\U0001f919,emojis & people,CALL ME HAND
🤙🏻,\U0001f919\U0001f3fb,emojis & people,---
🤙🏼,\U0001f919\U0001f3fc,emojis & people,---
🤙🏽,\U0001f919\U0001f3fd,emojis & people,---
🤙🏾,\U0001f919\U0001f3fe,emojis & people,---
🤙🏿,\U0001f919\U0001f3ff,emojis & people,---
🫲,\U0001faf2,emojis & people,---
🫲🏻,\U0001faf2\U0001f3fb,emojis & people,---
🫲🏼,\U0001faf2\U0001f3fc,emojis & people,---
🫲🏽,\U0001faf2\U0001f3fd,emojis & people,---
🫲🏾,\U0001faf2\U0001f3fe,emojis & people,---
🫲🏿,\U0001faf2\U0001f3ff,emojis & people,---
🫱,\U0001faf1,emojis & people,---
🫱🏻,\U0001faf1\U0001f3fb,emojis & people,---
🫱🏼,\U0001faf1\U0001f3fc,emojis & people,---
🫱🏽,\U0001faf1\U0001f3fd,emojis & people,---
🫱🏾,\U0001faf1\U0001f3fe,emojis & people,---
🫱🏿,\U0001faf1\U0001f3ff,emojis & people,---
💪,\U0001f4aa,emojis & people,FLEXED BICEPS
💪🏻,\U0001f4aa\U0001f3fb,emojis & people,---
💪🏼,\U0001f4aa\U0001f3fc,emojis & people,---
💪🏽,\U0001f4aa\U0001f3fd,emojis & people,---
💪🏾,\U0001f4aa\U0001f3fe,emojis & people,---
💪🏿,\U0001f4aa\U0001f3ff,emojis & people,---
🦾,\U0001f9be,emojis & people,MECHANICAL ARM
🖕,\U0001f595,emojis & people,REVERSED HAND WITH MIDDLE FINGER EXTENDED
🖕🏻,\U0001f595\U0001f3fb,emojis & people,---
🖕🏼,\U0001f595\U0001f3fc,emojis & people,---
🖕🏽,\U0001f595\U0001f3fd,emojis & people,---
🖕🏾,\U0001f595\U0001f3fe,emojis & people,---
🖕🏿,\U0001f595\U0001f3ff,emojis & people,---
✍️,\u270d\ufe0f,emojis & people,---
✍🏻,\u270d\U0001f3fb,emojis & people,---
✍🏼,\u270d\U0001f3fc,emojis & people,---
✍🏽,\u270d\U0001f3fd,emojis & people,---
✍🏾,\u270d\U0001f3fe,emojis & people,---
✍🏿,\u270d\U0001f3ff,emojis & people,---
🙏,\U0001f64f,emojis & people,PERSON WITH FOLDED HANDS
🙏🏻,\U0001f64f\U0001f3fb,emojis & people,---
🙏🏼,\U0001f64f\U0001f3fc,emojis & people,---
🙏🏽,\U0001f64f\U0001f3fd,emojis & people,---
🙏🏾,\U0001f64f\U0001f3fe,emojis & people,---
🙏🏿,\U0001f64f\U0001f3ff,emojis & people,---
